frase,area,device,command
apri tenda da sole del bagno,Bagno,tapparella,apri
spegni climatizzatore in cucina,Cucina,termostato,spegni
spengere punti luce in balcone,Balcone,luce_semplice,spegni
fa' accendi punto luce del cucina,Cucina,luce_semplice,accendi
far accendi punti luce in cameretta,Cameretta,luce_rgb,accendi
far accendi punto luce in camera,Camera,luce_rgb,accendi
spegnere luce del cameretta,Cameretta,luce_rgb,spegni
spegni climatizzatori in cameretta,Cameretta,termostato,spegni
fare accendi punto luce in bagno,Bagno,luce_semplice,accendi
spegnere punti luce del cucina,Cucina,luce_semplice,spegni
apri tenda da sole del sala,Sala,tapparella,apri
fare accendi luce in bagno,Bagno,luce_semplice,accendi
fai accendi punti luce del camera,Camera,luce_rgb,accendi
fare accendi climatizzatori in cucina,Cucina,termostato,accendi
fa' accendi climatizzatori in cameretta,Cameretta,termostato,accendi
far accendi punti luce del ingresso,Ingresso,luce_semplice,accendi
spengere climatizzatore in cucina,Cucina,termostato,spegni
spengi punto luce in balcone,Balcone,luce_semplice,spegni
fare accendi punti luce in sala,Sala,luce_rgb,accendi
spegnere climatizzatore del sala,Sala,termostato,spegni
fare accendi climatizzatore del sala,Sala,termostato,accendi
fare accendi luce in balcone,Balcone,luce_semplice,accendi
spegnere luce del balcone,Balcone,luce_semplice,spegni
fare accendi luce in cucina,Cucina,luce_semplice,accendi
spengere luce del cucina,Cucina,luce_semplice,spegni
abbassare tende da sole del cameretta,Cameretta,tapparella,chiudi
fa' accendi clima del cameretta,Cameretta,termostato,accendi
spengere climatizzatore del sala,Sala,termostato,spegni
far accendi climatizzatori in camera,Camera,termostato,accendi
aprire tende da sole del sala,Sala,tapparella,apri
abbassa tenda da sole in bagno,Bagno,tapparella,chiudi
spengi punto luce del bagno,Bagno,luce_semplice,spegni
spegni climatizzatore in cameretta,Cameretta,termostato,spegni
chiudere tenda del bagno,Bagno,tapparella,chiudi
far accendi luce in ingresso,Ingresso,luce_semplice,accendi
fare accendi climatizzatore in cucina,Cucina,termostato,accendi
spengere luce in sala,Sala,luce_rgb,spegni
alza tende da sole del cameretta,Cameretta,tapparella,apri
alzare tenda del sala,Sala,tapparella,apri
fa' accendi punti luce in cameretta,Cameretta,luce_rgb,accendi
aprire tende da sole del cameretta,Cameretta,tapparella,apri
fa' accendi punto luce in camera,Camera,luce_rgb,accendi
fai accendi climatizzatori in bagno,Bagno,condizionatore,accendi
fai accendi clima in cucina,Cucina,termostato,accendi
chiudi tenda da sole in cameretta,Cameretta,tapparella,chiudi
spegni punto luce del ingresso,Ingresso,luce_semplice,spegni
far accendi climatizzatori del camera,Camera,termostato,accendi
abbassa tenda da sole in sala,Sala,tapparella,chiudi
chiudi tenda in sala,Sala,tapparella,chiudi
spengere climatizzatori del bagno,Bagno,condizionatore,spegni
fare accendi climatizzatori del bagno,Bagno,condizionatore,accendi
spegnere climatizzatore in camera,Camera,termostato,spegni
fai accendi luce in balcone,Balcone,luce_semplice,accendi
fai accendi luce del sala,Sala,luce_rgb,accendi
fa' accendi climatizzatore del bagno,Bagno,condizionatore,accendi
spengere punti luce del balcone,Balcone,luce_semplice,spegni
spegnere clima in bagno,Bagno,condizionatore,spegni
spegnere punto luce in bagno,Bagno,luce_semplice,spegni
far accendi luce in balcone,Balcone,luce_semplice,accendi
spengi punti luce in sala,Sala,luce_rgb,spegni
spengere climatizzatore in camera,Camera,termostato,spegni
far accendi luce in bagno,Bagno,luce_semplice,accendi
spengere punti luce del bagno,Bagno,luce_semplice,spegni
spengere clima del bagno,Bagno,condizionatore,spegni
spengi luce del bagno,Bagno,luce_semplice,spegni
abbassare tende da sole in bagno,Bagno,tapparella,chiudi
spengere clima del cucina,Cucina,termostato,spegni
spegni luce in camera,Camera,luce_rgb,spegni
abbassare tenda da sole in cameretta,Cameretta,tapparella,chiudi
spengi punti luce in bagno,Bagno,luce_semplice,spegni
fa' accendi luce in bagno,Bagno,luce_semplice,accendi
spengi luce del cucina,Cucina,luce_semplice,spegni
spengi luce in cameretta,Cameretta,luce_rgb,spegni
spegnere climatizzatori in camera,Camera,termostato,spegni
fare accendi punti luce in balcone,Balcone,luce_semplice,accendi
fa' accendi punti luce in bagno,Bagno,luce_semplice,accendi
spegnere climatizzatori del cucina,Cucina,termostato,spegni
chiudere tenda in cameretta,Cameretta,tapparella,chiudi
fare accendi luce del balcone,Balcone,luce_semplice,accendi
chiudi tenda in cameretta,Cameretta,tapparella,chiudi
far accendi punto luce in sala,Sala,luce_rgb,accendi
spegnere punto luce in ingresso,Ingresso,luce_semplice,spegni
fare accendi punti luce del ingresso,Ingresso,luce_semplice,accendi
spegnere climatizzatore in cucina,Cucina,termostato,spegni
spengi clima del bagno,Bagno,condizionatore,spegni
spegni luce in bagno,Bagno,luce_semplice,spegni
chiudi tende da sole in cameretta,Cameretta,tapparella,chiudi
spegnere punti luce in cameretta,Cameretta,luce_rgb,spegni
aprire tende da sole in sala,Sala,tapparella,apri
spegni punti luce in sala,Sala,luce_rgb,spegni
fa' accendi climatizzatori in sala,Sala,termostato,accendi
fare accendi clima del cameretta,Cameretta,termostato,accendi
abbassare tenda del bagno,Bagno,tapparella,chiudi
accendi la luce del bagno,Bagno,luce_semplice,accendi
fare accendi punti luce in ingresso,Ingresso,luce_semplice,accendi
spengi punti luce del balcone,Balcone,luce_semplice,spegni
spegni la luce del bagno,Bagno,luce_semplice,spegni
fare accendi punto luce in cameretta,Cameretta,luce_rgb,accendi
abbassare tenda da sole in bagno,Bagno,tapparella,chiudi
spengere clima in bagno,Bagno,condizionatore,spegni
spengi clima in cucina,Cucina,termostato,spegni
spengere luce del bagno,Bagno,luce_semplice,spegni
spengi clima del camera,Camera,termostato,spegni
spegni punti luce del bagno,Bagno,luce_semplice,spegni
spengi punto luce in ingresso,Ingresso,luce_semplice,spegni
aprire tenda da sole in sala,Sala,tapparella,apri
spengi punto luce in cameretta,Cameretta,luce_rgb,spegni
spengere punto luce del bagno,Bagno,luce_semplice,spegni
alzare tende da sole in bagno,Bagno,tapparella,apri
spengi luce in balcone,Balcone,luce_semplice,spegni
spegni punti luce in bagno,Bagno,luce_semplice,spegni
spegnere punto luce in sala,Sala,luce_rgb,spegni
far accendi punto luce del sala,Sala,luce_rgb,accendi
spengi luce in bagno,Bagno,luce_semplice,spegni
spengere punti luce in cameretta,Cameretta,luce_rgb,spegni
fa' accendi punto luce in cameretta,Cameretta,luce_rgb,accendi
fa' accendi punto luce in balcone,Balcone,luce_semplice,accendi
abbassare tende da sole in cameretta,Cameretta,tapparella,chiudi
fai accendi clima del cameretta,Cameretta,termostato,accendi
fai accendi punto luce in ingresso,Ingresso,luce_semplice,accendi
spengere luce del camera,Camera,luce_rgb,spegni
fare accendi luce del bagno,Bagno,luce_semplice,accendi
spegni punto luce del bagno,Bagno,luce_semplice,spegni
spegnere luce del ingresso,Ingresso,luce_semplice,spegni
far accendi punti luce del camera,Camera,luce_rgb,accendi
fare accendi punti luce in camera,Camera,luce_rgb,accendi
fai accendi climatizzatori in sala,Sala,termostato,accendi
apri tenda del sala,Sala,tapparella,apri
fa' accendi punto luce in cucina,Cucina,luce_semplice,accendi
abbassa tenda del cameretta,Cameretta,tapparella,chiudi
spengi luce in sala,Sala,luce_rgb,spegni
fa' accendi climatizzatori in cucina,Cucina,termostato,accendi
chiudere tenda da sole del bagno,Bagno,tapparella,chiudi
apri tenda in sala,Sala,tapparella,apri
spegnere punto luce in balcone,Balcone,luce_semplice,spegni
fare accendi climatizzatore del cameretta,Cameretta,termostato,accendi
spegni luce del cameretta,Cameretta,luce_rgb,spegni
abbassa tende da sole in sala,Sala,tapparella,chiudi
spengere luce in bagno,Bagno,luce_semplice,spegni
spengi punto luce del cameretta,Cameretta,luce_rgb,spegni
spengi luce in camera,Camera,luce_rgb,spegni
far accendi punto luce in cameretta,Cameretta,luce_rgb,accendi
spegni luce del camera,Camera,luce_rgb,spegni
fa' accendi luce del cucina,Cucina,luce_semplice,accendi
alza tenda da sole del sala,Sala,tapparella,apri
spengi luce del sala,Sala,luce_rgb,spegni
fa' accendi climatizzatori del cameretta,Cameretta,termostato,accendi
alza la tapparella sala,Sala,tapparella,apri
spegnere punto luce del cucina,Cucina,luce_semplice,spegni
fai accendi luce del ingresso,Ingresso,luce_semplice,accendi
alza tenda in bagno,Bagno,tapparella,apri
aprire tenda da sole del sala,Sala,tapparella,apri
far accendi luce del cucina,Cucina,luce_semplice,accendi
chiudere tende da sole in bagno,Bagno,tapparella,chiudi
spegni punti luce in ingresso,Ingresso,luce_semplice,spegni
chiudere tende da sole del sala,Sala,tapparella,chiudi
fa' accendi punti luce del balcone,Balcone,luce_semplice,accendi
spegni le luci in sala,Sala,luce_rgb,spegni
fai accendi climatizzatore in cucina,Cucina,termostato,accendi
chiudere tenda del cameretta,Cameretta,tapparella,chiudi
fa' accendi punti luce in ingresso,Ingresso,luce_semplice,accendi
spengere luce del ingresso,Ingresso,luce_semplice,spegni
far accendi climatizzatore in bagno,Bagno,condizionatore,accendi
spengi punto luce del balcone,Balcone,luce_semplice,spegni
chiudere tenda da sole in sala,Sala,tapparella,chiudi
spengi clima in sala,Sala,termostato,spegni
fai accendi punto luce del bagno,Bagno,luce_semplice,accendi
spengere punto luce del camera,Camera,luce_rgb,spegni
spengi climatizzatore in cameretta,Cameretta,termostato,spegni
spengere climatizzatori in cameretta,Cameretta,termostato,spegni
alza tenda da sole in sala,Sala,tapparella,apri
chiudi tenda da sole del cameretta,Cameretta,tapparella,chiudi
fa' accendi luce del bagno,Bagno,luce_semplice,accendi
fa' accendi clima del sala,Sala,termostato,accendi
fare accendi climatizzatore in cameretta,Cameretta,termostato,accendi
spengi climatizzatori del sala,Sala,termostato,spegni
far accendi climatizzatori del cucina,Cucina,termostato,accendi
spengere luce del cameretta,Cameretta,luce_rgb,spegni
far accendi punto luce in ingresso,Ingresso,luce_semplice,accendi
far accendi clima del cameretta,Cameretta,termostato,accendi
alza tende da sole in sala,Sala,tapparella,apri
apri tenda da sole in sala,Sala,tapparella,apri
fare accendi climatizzatori del cucina,Cucina,termostato,accendi
fa' accendi climatizzatori del sala,Sala,termostato,accendi
fa' accendi punto luce in sala,Sala,luce_rgb,accendi
alza tenda da sole in cameretta,Cameretta,tapparella,apri
spegnere climatizzatori del bagno,Bagno,condizionatore,spegni
spengere luce in cucina,Cucina,luce_semplice,spegni
abbassare tenda da sole in sala,Sala,tapparella,chiudi
fai accendi luce in cucina,Cucina,luce_semplice,accendi
spegni punto luce in sala,Sala,luce_rgb,spegni
fai accendi climatizzatore in camera,Camera,termostato,accendi
spegnere climatizzatore in cameretta,Cameretta,termostato,spegni
spegni climatizzatori in bagno,Bagno,condizionatore,spegni
aprire tende da sole in bagno,Bagno,tapparella,apri
spengere climatizzatori del cucina,Cucina,termostato,spegni
spegni punto luce in cucina,Cucina,luce_semplice,spegni
spengi punto luce del sala,Sala,luce_rgb,spegni
apri tende da sole in bagno,Bagno,tapparella,apri
far accendi climatizzatori in bagno,Bagno,condizionatore,accendi
fa' accendi clima del camera,Camera,termostato,accendi
apri tende da sole del cameretta,Cameretta,tapparella,apri
spengere clima del camera,Camera,termostato,spegni
spengere punto luce in cucina,Cucina,luce_semplice,spegni
spegnere climatizzatore del cucina,Cucina,termostato,spegni
far accendi clima in bagno,Bagno,condizionatore,accendi
spengere punti luce in ingresso,Ingresso,luce_semplice,spegni
chiudi tenda del cameretta,Cameretta,tapparella,chiudi
spengere climatizzatore del cameretta,Cameretta,termostato,spegni
fa' accendi luce del ingresso,Ingresso,luce_semplice,accendi
abbassare tende da sole del bagno,Bagno,tapparella,chiudi
fai accendi climatizzatori del bagno,Bagno,condizionatore,accendi
spegni luce in sala,Sala,luce_rgb,spegni
spegni climatizzatori del cucina,Cucina,termostato,spegni
fai accendi punti luce in ingresso,Ingresso,luce_semplice,accendi
fai accendi luce in bagno,Bagno,luce_semplice,accendi
aprire tenda del cameretta,Cameretta,tapparella,apri
spegni clima del camera,Camera,termostato,spegni
far accendi punto luce del camera,Camera,luce_rgb,accendi
spengi climatizzatore in sala,Sala,termostato,spegni
fai accendi clima in bagno,Bagno,condizionatore,accendi
alza tende da sole in cameretta,Cameretta,tapparella,apri
accendi la luce in cameretta,Cameretta,luce_rgb,accendi
apri tenda in cameretta,Cameretta,tapparella,apri
fai accendi luce del camera,Camera,luce_rgb,accendi
aprire tenda da sole del cameretta,Cameretta,tapparella,apri
spegni luce del balcone,Balcone,luce_semplice,spegni
spegni punto luce del cameretta,Cameretta,luce_rgb,spegni
spegni clima del cameretta,Cameretta,termostato,spegni
far accendi luce in camera,Camera,luce_rgb,accendi
chiudi tenda da sole del sala,Sala,tapparella,chiudi
fare accendi luce del sala,Sala,luce_rgb,accendi
alzare tenda da sole del bagno,Bagno,tapparella,apri
fa' accendi luce in camera,Camera,luce_rgb,accendi
spengere luce in ingresso,Ingresso,luce_semplice,spegni
spengi climatizzatori in sala,Sala,termostato,spegni
spengere climatizzatore in sala,Sala,termostato,spegni
